Category,MLE,Wald_Lower,Wald_Upper,Score_Lower,Score_Upper,Exact_Lower,Exact_Upper,SE
Overall,14.714926329276105,14.524632070569973,14.905220587982237,14.525858540608372,14.906455014049346,14.52523955589266,14.906471376800257,0.09709069156737003
Tanks,2.574631646380525,2.495033273333778,2.6542300194272723,2.4962542116948225,2.6554699771717334,2.495641760444772,2.6554855486998905,0.040612161077759036
Infantry fighting vehicles,5.597693786034593,5.480325379562217,5.71506219250697,5.481549378005323,5.716299090169369,5.480933313396772,5.716315100272974,0.05988294040000919
Self-propelled artillery,0.6354900704676489,0.5959442105136503,0.6750359304216476,0.5971555208341666,0.6762855162066368,0.5965544238117844,0.6762996940439086,0.020176829914187858
Towed artillery,0.3023702754644459,0.2750920454391842,0.3296485054897076,0.27629475648210516,0.3309066905522921,0.27570378174691934,0.3309196066139837,0.013917720039974652
Drones,0.5221012171684818,0.4862565962050846,0.5579458381318789,0.4874659315131374,0.5591973989293316,0.48686716085974113,0.5592112883599628,0.01828840797388879
