replicate,rate_per_day,rate_per_30_days
1,14.240434,427.21301
2,14.573342,437.200255
3,13.190689,395.720663
4,13.526148,405.784439
5,11.917092,357.512755
6,14.322066,429.66199
7,15.202806,456.084184
8,14.28699,428.609694
9,15.884566,476.53699
10,13.286352,398.590561
11,13.603316,408.09949
12,16.452806,493.584184
13,13.452806,403.584184
14,14.463648,433.909439
15,19.403699,582.110969
16,16.580995,497.429847
17,10.517219,315.516582
18,15.607143,468.214286
19,11.723852,351.715561
20,13.493622,404.808673
21,16.545281,496.358418
22,14.916454,447.493622
23,15.817602,474.528061
24,12.876913,386.307398
25,11.716199,351.485969
26,11.583546,347.506378
27,12.265944,367.978316
28,12.116071,363.482143
29,15.239158,457.174745
30,12.776148,383.284439
31,13.49426,404.827806
32,14.977679,449.330357
33,13.209184,396.27551
34,16.248087,487.442602
35,15.982781,479.483418
36,14.772959,443.188776
37,15.581633,467.44898
38,15.550383,466.51148
39,14.813776,444.413265
40,14.066327,421.989796
41,14.625,438.75
42,12.234694,367.040816
43,11.354592,340.637755
44,14.820153,444.604592
45,13.951531,418.545918
46,11.506378,345.191327
47,14.358418,430.752551
48,12.52551,375.765306
49,13.487883,404.63648
50,14.307398,429.221939
51,13.484694,404.540816
52,13.276786,398.303571
53,13.97449,419.234694
54,14.165179,424.955357
55,13.054847,391.645408
56,12.210459,366.313776
57,14.015306,420.459184
58,14.274872,428.246173
59,12.246811,367.404337
60,12.621811,378.654337
61,13.888393,416.651786
62,12.695153,380.854592
63,14.137755,424.132653
64,11.903699,357.110969
65,14.021684,420.65051
66,14.124362,423.730867
67,14.579719,437.391582
68,15.142857,454.285714
69,12.591199,377.735969
70,13.572704,407.181122
71,14.69324,440.797194
72,14.507015,435.210459
73,11.385842,341.575255
74,15.721939,471.658163
75,12.842474,385.274235
76,14.848852,445.465561
77,12.100765,363.022959
78,12.389668,371.690051
79,16.105867,483.17602
80,12.352041,370.561224
81,15.867347,476.020408
82,12.357781,370.733418
83,18.177296,545.318878
84,13.608418,408.252551
85,15.876913,476.307398
86,15.958546,478.756378
87,12.269133,368.07398
88,12.663903,379.917092
89,15.890944,476.728316
90,14.829082,444.872449
91,17.19898,515.969388
92,14.294643,428.839286
93,12.065051,361.951531
94,15.026148,450.784439
95,13.211735,396.352041
96,15.767219,473.016582
97,15.145408,454.362245
98,13.896046,416.881378
99,16.205995,486.179847
100,12.628189,378.845663
101,15.297194,458.915816
102,13.345663,400.369898
103,13.72449,411.734694
104,13.211097,396.332908
105,14.899872,446.996173
106,14.899872,446.996173
107,13.713648,411.409439
108,13.621173,408.635204
109,16.610332,498.309949
110,12.609056,378.271684
111,13.383929,401.517857
112,15.52551,465.765306
113,15.270408,458.112245
114,14.473214,434.196429
115,14.226403,426.792092
116,15.576531,467.295918
117,14.359056,430.771684
118,11.931122,357.933673
119,12.212372,366.371173
120,13.311862,399.355867
121,15.923469,477.704082
122,14.042092,421.262755
123,14.420281,432.608418
124,13.327806,399.834184
125,14.170281,425.108418
126,15.791454,473.743622
127,14.331633,429.94898
128,13.028699,390.860969
129,13.690051,410.701531
130,12.441964,373.258929
131,14.38648,431.594388
132,13.801658,414.049745
133,15.293367,458.80102
134,13.402423,402.072704
135,12.368622,371.058673
136,14.628189,438.845663
137,13.762117,412.86352
138,13.46875,404.0625
139,11.522959,345.688776
140,14.079082,422.372449
141,13.563138,406.894133
142,13.282526,398.475765
143,15.381378,461.441327
144,11.579082,347.372449
145,15.138393,454.151786
146,11.875,356.25
147,11.965561,358.966837
148,11.252551,337.576531
149,12.913265,387.397959
150,13.727041,411.811224
151,12.794005,383.820153
152,16.218112,486.543367
153,15.102679,453.080357
154,11.749362,352.480867
155,13.133291,393.998724
156,13.919005,417.570153
157,13.469388,404.081633
158,11.654337,349.630102
159,13.940051,418.201531
160,13.190689,395.720663
161,15.689413,470.682398
162,14.468112,434.043367
163,17.327168,519.815051
164,12.700893,381.026786
165,13.619898,408.596939
166,14.058673,421.760204
167,16.985969,509.579082
168,12.065051,361.951531
169,14.725765,441.772959
170,12.535714,376.071429
171,12.21875,366.5625
172,14.021046,420.631378
173,12.883929,386.517857
174,14.528699,435.860969
175,10.633929,319.017857
176,10.815689,324.470663
177,13.634566,409.03699
178,12.378827,371.364796
179,15.239158,457.174745
180,13.308673,399.260204
181,16.877551,506.326531
182,13.586735,407.602041
183,11.773597,353.207908
184,14.741709,442.251276
185,15.46301,463.890306
186,14.091199,422.735969
187,14.81824,444.547194
188,14.345026,430.350765
189,13.737245,412.117347
