replicate,rate_per_day,rate_per_30_days
190,13.304847,399.145408
191,14.049745,421.492347
192,15.277423,458.322704
193,13.141582,394.247449
194,14.0625,421.875
195,14.827168,444.815051
196,16.286352,488.590561
197,11.960459,358.813776
198,9.645408,289.362245
199,14.461097,433.832908
200,15.712372,471.371173
201,13.008291,390.248724
202,15.205995,456.179847
203,12.806122,384.183673
204,13.051658,391.549745
205,12.041454,361.243622
206,16.429847,492.895408
207,14.662628,439.878827
208,15.154974,454.649235
209,15.514031,465.420918
210,16.679847,500.395408
211,13.548469,406.454082
212,14.893495,446.804847
213,15.569515,467.085459
214,16.550383,496.51148
215,11.608418,348.252551
216,14.566327,436.989796
217,13.538265,406.147959
218,16.564413,496.932398
219,12.433673,373.010204
220,15.29273,458.781888
221,12.69898,380.969388
222,13.480867,404.42602
223,14.340561,430.216837
224,15.18176,455.452806
225,14.241709,427.251276
226,13.083546,392.506378
227,13.547832,406.434949
228,12.950893,388.526786
229,14.179847,425.395408
230,12.241071,367.232143
231,15.23023,456.906888
232,11.804847,354.145408
233,13.817602,414.528061
234,12.21301,366.390306
235,13.834821,415.044643
236,12.434949,373.048469
237,12.518495,375.554847
238,13.054209,391.626276
239,14.158801,424.764031
240,15.183673,455.510204
241,13.28125,398.4375
242,12.897959,386.938776
243,13.491709,404.751276
244,12.590561,377.716837
245,13.977679,419.330357
246,13.751276,412.538265
247,14.884566,446.53699
248,14.647959,439.438776
249,11.84375,355.3125
250,13.970026,419.100765
251,15.186224,455.586735
252,14.779337,443.380102
253,14.756378,442.691327
254,13.251913,397.557398
255,16.430485,492.914541
256,12.126276,363.788265
257,12.272959,368.188776
258,12.976403,389.292092
259,11.76148,352.844388
260,16.577168,497.315051
261,13.924107,417.723214
262,13.245536,397.366071
263,16.279974,488.399235
264,18.137755,544.132653
265,12.440051,373.201531
266,13.593112,407.793367
267,15.499362,464.980867
268,12.933673,388.010204
269,15.347577,460.427296
270,13.378827,401.364796
271,13.046556,391.396684
272,12.986607,389.598214
273,13.586735,407.602041
274,13.948342,418.450255
275,13.721301,411.639031
276,12.885204,386.556122
277,10.943878,328.316327
278,12.235969,367.079082
279,18.38074,551.422194
280,13.954719,418.641582
281,13.663265,409.897959
282,12.904974,387.149235
283,14.539541,436.186224
284,17.747449,532.423469
285,12.440051,373.201531
286,13.56824,407.047194
287,12.638393,379.151786
288,13.948342,418.450255
289,10.308673,309.260204
290,13.600128,408.003827
291,12.977679,389.330357
292,13.204719,396.141582
293,14.258929,427.767857
294,15.609694,468.290816
295,10.276786,308.303571
296,15.153699,454.610969
297,14.149235,424.477041
298,11.90625,357.1875
299,15.186862,455.605867
300,13.146046,394.381378
301,14.66773,440.031888
302,14.086735,422.602041
303,13.127551,393.826531
304,14.282526,428.475765
305,13.120536,393.616071
306,13.873087,416.192602
307,11.29273,338.781888
308,15.899872,476.996173
309,13.469388,404.081633
310,12.438138,373.144133
311,16.984056,509.521684
312,15.316964,459.508929
313,15.322066,459.66199
314,15.910714,477.321429
315,13.548469,406.454082
316,13.297194,398.915816
317,13.565051,406.951531
318,10.83227,324.968112
319,15.568878,467.066327
320,17.776148,533.284439
321,13.596939,407.908163
322,15.23023,456.906888
323,12.396046,371.881378
324,14.958546,448.756378
325,16.526786,495.803571
326,15.967474,479.024235
327,14.397959,431.938776
328,11.73852,352.155612
329,17.802934,534.08801
330,12.831633,384.94898
331,11.958546,358.756378
332,14.881378,446.441327
333,12.578444,377.353316
334,16.390944,491.728316
335,15.596939,467.908163
336,14.764031,442.920918
337,13.935587,418.067602
338,12.42602,372.780612
339,13.181122,395.433673
340,12.895408,386.862245
341,14.542092,436.262755
342,16.265944,487.978316
343,14.225765,426.772959
344,12.915816,387.47449
345,14.245536,427.366071
346,13.637755,409.132653
347,16.75574,502.672194
348,11.767219,353.016582
349,12.596939,377.908163
350,14.297832,428.934949
351,14.209821,426.294643
352,15.600765,468.022959
353,12.334184,370.02551
354,15.165179,454.955357
355,14.178571,425.357143
356,15.279974,458.399235
357,15.165816,454.97449
358,12.966837,389.005102
359,17.670281,530.108418
360,14.444515,433.335459
361,10.850128,325.503827
362,12.912628,387.378827
363,15.107781,453.233418
364,14.51977,435.593112
365,12.158163,364.744898
366,16.054847,481.645408
367,13.167092,395.012755
368,12.369898,371.096939
369,12.051658,361.549745
370,12.370536,371.116071
371,15.190689,455.720663
372,14.424745,432.742347
373,13.470026,404.100765
374,13.268495,398.054847
375,13.823342,414.700255
376,15.669005,470.070153
377,15.395408,461.862245
378,14.538903,436.167092
379,12.882653,386.479592
380,12.049107,361.473214
381,11.721939,351.658163
382,14.710459,441.313776
383,14.805485,444.164541
384,14.103954,423.118622
385,12.345026,370.350765
386,16.16773,485.031888
387,13.945791,418.373724
388,12.288903,368.667092
389,15.079719,452.391582
390,10.877551,326.326531
391,14.209821,426.294643
392,11.6875,350.625
393,14.060587,421.817602
394,12.559311,376.779337
395,13.826531,414.795918
396,14.838648,445.159439
397,13.549107,406.473214
398,13.459184,403.77551
399,17.57398,527.219388
400,12.012117,360.36352
401,14.565689,436.970663
402,12.902423,387.072704
403,12.693878,380.816327
404,13.450255,403.507653
405,14.088648,422.659439
406,12.033163,360.994898
407,10.535714,316.071429
408,14.376913,431.307398
409,13.489796,404.693878
410,16.267857,488.035714
411,13.438776,403.163265
412,11.964923,358.947704
413,17.58227,527.468112
414,15.538903,466.167092
415,15.019133,450.57398
416,15.436862,463.105867
417,13.669005,410.070153
418,13.457908,403.737245
419,14.41773,432.531888
420,13.345026,400.350765
421,13.342474,400.274235
422,15.954719,478.641582
423,15.676658,470.299745
424,13.860332,415.809949
425,11.841837,355.255102
426,12.213648,366.409439
427,11.429209,342.876276
428,15.447704,463.431122
429,14.024872,420.746173
430,14.672194,440.165816
431,13.781888,413.456633
432,15.709821,471.294643
433,11.677296,350.318878
434,15.198342,455.950255
435,16.144133,484.32398
436,14.397321,431.919643
437,13.921556,417.646684
438,12.663903,379.917092
439,16.558036,496.741071
440,14.73023,441.906888
441,14.334821,430.044643
442,9.132653,273.979592
443,12.877551,386.326531
444,12.690689,380.720663
445,14.848214,445.446429
446,12.092474,362.774235
447,13.126276,393.788265
448,11.809949,354.298469
449,14.076531,422.295918
450,13.860969,415.829082
451,14.889031,446.670918
452,14.186862,425.605867
453,13.035714,391.071429
454,16.813138,504.394133
455,16.904337,507.130102
456,13.528699,405.860969
457,13.795281,413.858418
458,12.739796,382.193878
459,14.294005,428.820153
460,15.789541,473.686224
461,13.533163,405.994898
462,14.040179,421.205357
463,16.153061,484.591837
464,13.309949,399.298469
465,13.364158,400.924745
466,14.602679,438.080357
467,14.783801,443.514031
468,14.634566,439.03699
469,15.542092,466.262755
470,15.05102,451.530612
471,15.420281,462.608418
472,11.449617,343.48852
473,15.858418,475.752551
474,13.094388,392.831633
475,11.329719,339.891582
476,12.685587,380.567602
477,13.475128,404.253827
478,14.941964,448.258929
479,13.033801,391.014031
480,12.427934,372.83801
481,14.798469,443.954082
482,13.835459,415.063776
483,14.387755,431.632653
484,12.96301,388.890306
485,15.725128,471.753827
486,15.089286,452.678571
487,12.316964,369.508929
488,15.477679,464.330357
489,11.210459,336.313776
490,13.770408,413.112245
491,11.808673,354.260204
492,13.990434,419.71301
493,12.279974,368.399235
494,14.146046,424.381378
495,13.547832,406.434949
496,12.207908,366.237245
497,14.764668,442.940051
498,12.484694,374.540816
499,14.209821,426.294643
500,13.313776,399.413265
501,12.723214,381.696429
502,14.268495,428.054847
503,13.646684,409.40051
504,14.086735,422.602041
505,12.158163,364.744898
506,17.969388,539.081633
507,11.610969,348.329082
508,12.904337,387.130102
509,14.140944,424.228316
510,16.267857,488.035714
511,13.814413,414.432398
512,15.964286,478.928571
513,13.686224,410.586735
514,17.428571,522.857143
515,15.564413,466.932398
516,13.55102,406.530612
517,15.765306,472.959184
518,13.329719,399.891582
519,13.580995,407.429847
520,15.20727,456.218112
521,17.656888,529.706633
522,17.612245,528.367347
523,16.756378,502.691327
524,12.125,363.75
525,13.359694,400.790816
526,13.438776,403.163265
527,11.857143,355.714286
528,12.5625,376.875
529,14.922832,447.684949
530,13.6875,410.625
531,10.271684,308.15051
532,15.364796,460.943878
533,14.535714,436.071429
534,13.831633,414.94898
535,14.528061,435.841837
536,11.907526,357.225765
537,12.576531,377.295918
538,16.056122,481.683673
539,16.392857,491.785714
540,12.665816,379.97449
541,13.08227,392.468112
542,14.209821,426.294643
543,14.968112,449.043367
544,14.204719,426.141582
545,14.568878,437.066327
546,15.538265,466.147959
547,13.565051,406.951531
548,13.147321,394.419643
549,13.276786,398.303571
550,14.741071,442.232143
551,13.548469,406.454082
552,14.392219,431.766582
553,15.117347,453.520408
554,14.110332,423.309949
555,13.848214,415.446429
556,12.641582,379.247449
557,14.027423,420.822704
558,14.825255,444.757653
559,14.632653,438.979592
560,14.397959,431.938776
561,15.194515,455.835459
562,12.382015,371.460459
563,11.247449,337.423469
564,13.720026,411.600765
565,14.122449,423.673469
566,14.070791,422.123724
567,13.614796,408.443878
568,15.419005,462.570153
569,13.538903,406.167092
570,13.223852,396.715561
571,14.132015,423.960459
572,15.270408,458.112245
573,14.597577,437.927296
574,13.137755,394.132653
575,14.362245,430.867347
576,14.207908,426.237245
577,12.917092,387.512755
578,17.778699,533.360969
579,13.503827,405.114796
580,12.748724,382.461735
581,12.484056,374.521684
582,13.058036,391.741071
583,14.464923,433.947704
584,12.965561,388.966837
585,14.080357,422.410714
586,16.03699,481.109694
587,15.132015,453.960459
588,13.167092,395.012755
589,12.05676,361.702806
590,11.816327,354.489796
591,12.450893,373.526786
592,10.618622,318.558673
593,12.282526,368.475765
594,11.691327,350.739796
595,13.977679,419.330357
596,13.272321,398.169643
597,17.317602,519.528061
598,14.280612,428.418367
599,12.327168,369.815051
600,14.134566,424.03699
601,15.837372,475.121173
602,11.409439,342.283163
603,10.503827,315.114796
604,14.483418,434.502551
605,15.595026,467.850765
606,15.073342,452.200255
607,14.661352,439.840561
608,14.927934,447.83801
609,14.248724,427.461735
610,12.319515,369.585459
611,14.771684,443.15051
612,14.188138,425.644133
613,12.470663,374.119898
614,15.600128,468.003827
615,12.466199,373.985969
616,13.546556,406.396684
617,14.571429,437.142857
618,15.179847,455.395408
619,12.899872,386.996173
620,11.34375,340.3125
621,14.887117,446.61352
622,13.3125,399.375
623,12.708546,381.256378
624,17.056122,511.683673
625,13.007015,390.210459
626,11.382015,341.460459
627,15.563138,466.894133
628,15.819515,474.585459
629,14.109694,423.290816
630,14.107143,423.214286
631,13.977041,419.311224
632,14.389668,431.690051
633,14.941327,448.239796
634,13.330995,399.929847
635,17.905612,537.168367
636,12.764668,382.940051
637,16.098852,482.965561
638,15.410714,462.321429
639,14.267857,428.035714
640,13.637117,409.11352
641,13.996811,419.904337
642,13.177296,395.318878
643,13.542092,406.262755
644,14.655612,439.668367
645,12.949617,388.48852
646,14.954719,448.641582
647,15.142857,454.285714
648,12.485969,374.579082
649,12.455995,373.679847
650,12.186224,365.586735
651,13.211097,396.332908
652,13.776148,413.284439
653,14.73023,441.906888
654,12.175383,365.26148
655,14.049107,421.473214
656,12.916454,387.493622
657,12.548469,376.454082
658,14.604592,438.137755
659,12.635204,379.056122
660,14.487883,434.63648
661,15.316964,459.508929
662,14.389668,431.690051
663,15.918367,477.55102
664,11.462372,343.871173
665,11.392219,341.766582
666,13.237883,397.13648
667,12.890944,386.728316
668,13.306122,399.183673
669,14.434311,433.029337
670,15.279974,458.399235
671,13.753189,412.595663
672,14.626913,438.807398
673,12.450255,373.507653
674,14.727679,441.830357
675,15.71875,471.5625
676,14.364158,430.924745
677,13.404974,402.149235
678,12.92602,387.780612
679,13.428571,402.857143
680,12.915816,387.47449
681,12.820153,384.604592
682,14.142857,424.285714
683,15.168367,455.05102
684,13.76977,413.093112
685,16.566327,496.989796
686,16.953444,508.603316
687,12.118622,363.558673
688,14.523597,435.707908
689,15.214286,456.428571
690,13.256378,397.691327
691,14.700893,441.026786
692,12.454719,373.641582
693,12.183036,365.491071
694,19.447704,583.431122
695,12.517219,375.516582
696,14.570791,437.123724
697,14.206633,426.19898
698,12.735332,382.059949
699,13.783163,413.494898
700,14.700893,441.026786
701,15.774235,473.227041
702,16.693878,500.816327
703,14.023597,420.707908
704,18.889031,566.670918
705,11.432398,342.971939
706,11.556122,346.683673
707,18.168367,545.05102
708,12.894133,386.82398
709,13.873087,416.192602
710,12.805485,384.164541
711,13.801658,414.049745
712,14.022959,420.688776
713,11.672832,350.184949
714,14.408163,432.244898
715,15.892857,476.785714
716,13.112245,393.367347
717,12.119898,363.596939
718,15.384566,461.53699
719,12.200893,366.026786
720,13.677296,410.318878
721,13.958546,418.756378
722,16.539541,496.186224
723,12.141582,364.247449
724,13.318878,399.566327
725,14.981505,449.445153
726,17.138393,514.151786
727,14.236607,427.098214
728,17.236607,517.098214
729,13.440051,403.201531
730,14.547194,436.415816
731,13.752551,412.576531
732,17.077806,512.334184
733,14.262755,427.882653
734,12.903061,387.091837
735,11.96875,359.0625
736,12.71875,381.5625
737,19.098214,572.946429
738,13.865434,415.96301
739,15.507015,465.210459
740,11.868622,356.058673
741,13.170281,395.108418
742,11.652423,349.572704
743,16.579719,497.391582
744,17.077168,512.315051
745,15.311862,459.355867
746,14.734694,442.040816
747,15.096301,452.889031
748,14.415816,432.47449
749,10.528061,315.841837
750,16.264031,487.920918
751,11.725128,351.753827
752,14.76977,443.093112
753,14.139031,424.170918
754,14.451531,433.545918
755,15.237883,457.13648
756,12.179847,365.395408
757,11.200893,336.026786
758,15.883929,476.517857
759,12.987883,389.63648
760,14.052934,421.58801
761,13.649872,409.496173
762,12.772959,383.188776
763,12.591837,377.755102
764,14.056122,421.683673
765,13.691964,410.758929
766,13.793367,413.80102
767,13.056122,391.683673
768,13.676658,410.299745
769,12.450893,373.526786
770,12.71875,381.5625
771,12.883291,386.498724
772,13.045281,391.358418
773,14.42602,432.780612
774,12.109056,363.271684
775,15.359694,460.790816
776,11.809949,354.298469
777,15.533163,465.994898
778,14.390306,431.709184
779,15.257653,457.729592
780,13.593112,407.793367
781,16.376276,491.288265
782,13.495536,404.866071
783,12.640944,379.228316
784,14.404974,432.149235
785,13.541454,406.243622
786,13.234056,397.021684
787,13.387755,401.632653
788,13.235332,397.059949
789,14.171556,425.146684
790,14.661352,439.840561
791,12.132015,363.960459
792,14.346301,430.389031
793,13.031888,390.956633
794,13.823342,414.700255
795,15.251276,457.538265
796,15.557398,466.721939
797,17.81824,534.547194
798,13.851403,415.542092
799,13.714286,411.428571
800,13.425383,402.76148
801,12.220026,366.600765
802,14.397321,431.919643
803,14.427296,432.818878
804,12.558673,376.760204
805,12.576531,377.295918
806,14.345026,430.350765
807,14.522321,435.669643
808,13.325893,399.776786
809,13.024872,390.746173
810,14.873724,446.211735
811,13.365434,400.96301
812,15.436862,463.105867
813,12.242347,367.270408
814,15.457908,463.737245
815,12.621173,378.635204
816,15.641582,469.247449
817,11.815051,354.451531
818,15.860332,475.809949
819,14.431122,432.933673
820,18.093112,542.793367
821,10.867347,326.020408
822,15.475128,464.253827
823,13.803571,414.107143
824,15.705357,471.160714
825,12.475128,374.253827
826,15.125,453.75
827,15.188138,455.644133
828,13.521046,405.631378
829,12.434311,373.029337
830,13.955357,418.660714
831,13.813776,414.413265
832,13.33227,399.968112
833,16.285077,488.552296
834,12.299745,368.992347
835,12.572066,377.16199
836,13.906888,417.206633
837,16.142219,484.266582
838,11.772321,353.169643
839,11.895408,356.862245
840,14.91199,447.359694
841,16.365434,490.96301
842,11.985332,359.559949
843,14.178571,425.357143
844,15.758929,472.767857
845,12.218112,366.543367
846,13.0625,391.875
847,17.003827,510.114796
848,13.473214,404.196429
849,14.367985,431.039541
850,10.987245,329.617347
851,15.818878,474.566327
852,13.184311,395.529337
853,12.566964,377.008929
854,13.548469,406.454082
855,12.200893,366.026786
856,11.688138,350.644133
857,12.63074,378.922194
858,12.777423,383.322704
859,12.846301,385.389031
860,13.643495,409.304847
861,15.065689,451.970663
862,13.965561,418.966837
863,14.049107,421.473214
864,15.211097,456.332908
865,13.880102,416.403061
866,11.294005,338.820153
867,13.276148,398.284439
868,13.364796,400.943878
869,13.240434,397.21301
870,16.05676,481.702806
871,12.690051,380.701531
872,11.877551,356.326531
873,11.767219,353.016582
874,14.498724,434.961735
875,12.666454,379.993622
876,12.182398,365.471939
877,13.795281,413.858418
878,12.428571,372.857143
879,15.91199,477.359694
880,11.303571,339.107143
881,11.734056,352.021684
882,15.078444,452.353316
883,12.85523,385.656888
884,15.276786,458.303571
885,12.695153,380.854592
886,14.34949,430.484694
887,14.846939,445.408163
888,12.247449,367.423469
889,15.575255,467.257653
890,14.961735,448.852041
891,16.565051,496.951531
892,14.978954,449.368622
893,14.100128,423.003827
894,13.042092,391.262755
895,16.484056,494.521684
896,13.006378,390.191327
897,12.680485,380.414541
898,16.96875,509.0625
899,15.461097,463.832908
900,13.276148,398.284439
901,14.03125,420.9375
902,13.098214,392.946429
903,10.797194,323.915816
904,15.434311,463.029337
905,12.235969,367.079082
906,12.725765,381.772959
907,15.305485,459.164541
908,14.026148,420.784439
909,15.373724,461.211735
910,14.4375,433.125
911,13.575255,407.257653
912,14.172194,425.165816
913,11.703444,351.103316
914,13.857781,415.733418
915,16.834821,505.044643
916,13.869898,416.096939
917,17.000638,510.019133
918,16.556122,496.683673
919,13.77551,413.265306
920,15.131378,453.941327
921,14.672194,440.165816
922,14.758929,442.767857
923,13.915816,417.47449
924,12.94898,388.469388
925,12.807398,384.221939
926,15.577168,467.315051
927,16.595663,497.869898
928,13.094388,392.831633
929,11.374362,341.230867
930,12.465561,373.966837
931,12.682398,380.471939
932,20.033163,600.994898
933,11.848852,355.465561
934,13.231505,396.945153
935,15.220026,456.600765
936,14.681122,440.433673
937,12.357781,370.733418
938,12.871173,386.135204
939,12.553571,376.607143
940,12.359694,370.790816
941,16.116071,483.482143
942,14.357781,430.733418
943,12.916454,387.493622
944,15.55102,466.530612
945,10.796556,323.896684
946,13.895408,416.862245
947,15.617985,468.539541
948,17.403699,522.110969
949,12.204719,366.141582
950,11.995536,359.866071
951,15.865434,475.96301
952,13.285714,398.571429
953,17.138393,514.151786
954,16.378189,491.345663
955,15.100765,453.022959
956,11.700893,351.026786
957,11.232781,336.983418
958,11.436224,343.086735
959,14.461097,433.832908
960,16.770408,503.112245
961,17.007015,510.210459
962,13.352041,400.561224
963,13.290179,398.705357
964,13.147321,394.419643
965,13.197066,395.91199
966,14.276148,428.284439
967,15.225765,456.772959
968,13.233418,397.002551
969,10.618622,318.558673
970,11.607143,348.214286
971,12.051658,361.549745
972,13.03125,390.9375
973,13.30676,399.202806
974,15.167092,455.012755
975,15.20727,456.218112
976,13.10523,393.156888
977,17.908163,537.244898
978,14.779337,443.380102
979,14.58801,437.640306
980,13.251913,397.557398
981,14.665179,439.955357
982,14.748087,442.442602
983,14.004464,420.133929
984,15.20727,456.218112
985,10.998724,329.961735
986,13.524235,405.727041
987,14.842474,445.274235
988,12.143495,364.304847
989,13.666454,409.993622
990,13.162628,394.878827
991,14.146046,424.381378
992,13.462372,403.871173
993,12.202168,366.065051
994,14.918367,447.55102
995,14.228954,426.868622
996,12.507015,375.210459
997,14.16773,425.031888
998,14.817602,444.528061
999,14.232781,426.983418
1000,15.768495,473.054847
1001,14.392857,431.785714
1002,13.512755,405.382653
1003,16.80102,504.030612
1004,12.858418,385.752551
1005,12.890944,386.728316
1006,17.326531,519.795918
1007,11.622449,348.673469
1008,12.078444,362.353316
1009,15.646046,469.381378
1010,13.080995,392.429847
1011,16.353316,490.59949
1012,12.949617,388.48852
1013,14.591199,437.735969
1014,12.217474,366.524235
1015,13.240434,397.21301
1016,14.380102,431.403061
1017,15.477679,464.330357
1018,14.380102,431.403061
1019,13.059949,391.798469
1020,12.176658,365.299745
1021,14.195153,425.854592
1022,14.088648,422.659439
1023,15.311862,459.355867
1024,12.574617,377.23852
1025,12.989158,389.674745
1026,14.672832,440.184949
1027,12.419005,372.570153
1028,12.204719,366.141582
1029,12.262755,367.882653
1030,16.221939,486.658163
1031,12.526786,375.803571
1032,13.717474,411.524235
1033,11.611607,348.348214
1034,12.945153,388.354592
1035,14.077168,422.315051
1036,14.617985,438.539541
1037,13.810587,414.317602
1038,14.498087,434.942602
1039,13.004464,390.133929
1040,10.873724,326.211735
1041,13.818878,414.566327
1042,16.614796,498.443878
1043,14.038265,421.147959
1044,14.715561,441.466837
1045,13.4375,403.125
1046,16.083546,482.506378
1047,12.324617,369.73852
1048,13.012117,390.36352
1049,10.350128,310.503827
1050,13.456633,403.69898
1051,13.14477,394.343112
1052,13.375638,401.269133
1053,12.219388,366.581633
1054,15.919643,477.589286
1055,14.379464,431.383929
1056,15.675383,470.26148
1057,11.419005,342.570153
1058,12.686224,380.586735
1059,15.826531,474.795918
1060,14.802296,444.068878
1061,15.158163,454.744898
1062,15.104592,453.137755
1063,13.211097,396.332908
1064,15.012117,450.36352
1065,13.098852,392.965561
1066,14.953444,448.603316
1067,15.129464,453.883929
1068,12.745536,382.366071
1069,12.734056,382.021684
1070,13.110969,393.329082
1071,13.873724,416.211735
1072,15.802934,474.08801
1073,14.268495,428.054847
1074,13.358418,400.752551
1075,10.52551,315.765306
1076,15.028699,450.860969
1077,13.641582,409.247449
1078,13.265944,397.978316
1079,11.952806,358.584184
1080,15.672832,470.184949
1081,14.506378,435.191327
1082,14.866071,445.982143
1083,14.547832,436.434949
1084,12.288903,368.667092
1085,16.31824,489.547194
1086,13.27551,398.265306
1087,13.462372,403.871173
1088,13.280612,398.418367
1089,12.219388,366.581633
1090,11.670281,350.108418
1091,16.518495,495.554847
1092,17.746173,532.385204
1093,16.716837,501.505102
1094,12.304209,369.126276
1095,13.134566,394.03699
1096,11.795281,353.858418
1097,16.75,502.5
1098,15.29273,458.781888
1099,11.792092,353.762755
1100,14.804847,444.145408
1101,13.364158,400.924745
1102,16.052296,481.568878
1103,13.051658,391.549745
1104,15.334821,460.044643
1105,12.971939,389.158163
1106,14.521046,435.631378
1107,16.845026,505.350765
1108,16.78699,503.609694
1109,14.896046,446.881378
1110,19.454082,583.622449
1111,13.873724,416.211735
1112,12.43176,372.952806
1113,13.936224,418.086735
1114,15.192602,455.778061
1115,12.639668,379.190051
1116,12.38648,371.594388
1117,16.686224,500.586735
1118,15.240434,457.21301
1119,14.496811,434.904337
1120,12.912628,387.378827
1121,13.407526,402.225765
1122,13.788265,413.647959
1123,15.27551,458.265306
1124,13.380102,401.403061
1125,14.91773,447.531888
1126,12.713648,381.409439
1127,15.870536,476.116071
1128,12.910714,387.321429
1129,13.242347,397.270408
1130,13.997449,419.923469
1131,13.5,405.0
1132,12.225765,366.772959
1133,13.215561,396.466837
1134,14.813138,444.394133
1135,11.216837,336.505102
1136,12.787628,383.628827
1137,14.75574,442.672194
1138,13.691964,410.758929
1139,12.827806,384.834184
1140,13.038903,391.167092
1141,15.626913,468.807398
1142,13.197066,395.91199
1143,14.475128,434.253827
1144,13.024235,390.727041
1145,17.344388,520.331633
1146,12.934949,388.048469
1147,14.700255,441.007653
1148,13.954719,418.641582
1149,13.086735,392.602041
1150,13.797832,413.934949
1151,13.803571,414.107143
1152,13.454719,403.641582
