Phase 1,Phase 2,n1,n2,total1,total2,lambda1,lambda2,rate_ratio,diff,diff_ci,e_test_pval,lrt_stat,lrt_pval
P1 (2022.2-4),P3 (2022.9-12),66,122,3523,3020,53.378787878787875,24.75409836065574,2.156361629540437,28.624689518132136,"(np.float64(26.653284182518068), np.float64(30.596094853746205))",0.0,955.6679302808625,0.0
P1 (2022.2-4),P7 (2024.3-7),66,153,3523,2700,53.378787878787875,17.647058823529413,3.0247979797979796,35.73172905525846,"(np.float64(33.84756874330217), np.float64(37.615889367214756))",0.0,1869.9672184617666,0.0
P1 (2022.2-4),P9 (2025-26),66,519,3523,4045,53.378787878787875,7.79383429672447,6.848848185189347,45.584953582063406,"(np.float64(43.80600491693327), np.float64(47.36390224719354))",0.0,5887.064827723349,0.0
P3 (2022.9-12),P7 (2024.3-7),122,153,3020,2700,24.75409836065574,17.647058823529413,1.4027322404371585,7.107039537126326,"(np.float64(6.0013446634214205), np.float64(8.212734410831231))",0.0,163.5171737480996,0.0
P3 (2022.9-12),P9 (2025-26),122,519,3020,4045,24.75409836065574,7.79383429672447,3.1761129911447044,16.96026406393127,"(np.float64(16.04529989755404), np.float64(17.875228230308498))",0.0,2083.481588485265,0.0
P7 (2024.3-7),P9 (2025-26),153,519,2700,4045,17.647058823529413,7.79383429672447,2.2642332581982116,9.853224526804944,"(np.float64(9.145566057189841), np.float64(10.560882996420046))",0.0,1000.5710457015957,0.0
