Phase,MLE,BCa_Lower,BCa_Upper,Bootstrap_SE,z0,a_hat
Phase 1 (Initial Invasion),53.378787878787875,39.45454545454545,70.49129824685363,7.943177502862772,-0.02757640573939172,0.03800124672890685
Phase 3 (Counteroffensive),24.75409836065574,18.918032786885245,33.5780282374601,3.622486888665746,-0.0401168101849681,0.05729921934641596
Phase 7 (Spring 2024),17.647058823529413,16.369650502655183,18.87657935010031,0.6538780554368214,-0.038862518354400494,0.009804891286204463
Phase 9 (Recent),7.79383429672447,6.8566286346912895,8.815864289739954,0.49508725204946197,0.02256156839022472,0.013122296853947467
