IID_Bootstrap_Means,Block_Bootstrap_Means
15.269698910954517,14.645739910313901
14.821268417680974,14.267136450992954
14.110826393337604,15.142857142857142
14.59513132607303,13.33760409993594
13.698270339525944,15.063420884048687
14.877001921844972,13.604740550928891
14.121716848174247,13.908392056374119
14.573350416399744,13.474695707879563
14.351057014734145,14.204996796925048
15.188981422165279,14.34785393978219
14.534272901985906,16.126841768097375
14.431133888532992,15.075592568866112
14.629724535554132,14.008968609865471
14.285073670723895,13.251121076233185
14.429212043561819,14.130685458039718
14.724535554131966,14.98206278026906
14.642536835361948,12.950032030749519
15.101217168481742,13.709160794362589
14.55413196668802,13.498398462524023
14.531710442024343,14.242793081358103
14.614349775784753,15.359385009609225
14.591287636130685,14.158872517616912
15.229980781550289,15.658552210121718
15.609224855861628,14.54580397181294
14.806534272901986,14.070467648942985
15.089045483664318,14.745675848814862
14.139013452914797,15.606021780909673
14.375400384368994,13.335682254964766
14.331838565022421,15.436258808456119
15.674567584881487,14.08199871877002
14.488148622677771,14.608584240871236
15.310698270339525,14.68609865470852
15.348494554772582,14.051889814221653
14.994875080076874,14.736066623959001
14.667520819987187,15.9513132607303
14.297885970531711,13.393978219090327
14.849455477258168,14.135169762972454
14.657911595131326,12.87636130685458
13.873798846893017,15.98398462524023
15.582319026265214,13.525304292120437
15.058295964125561,15.527866752081998
14.522101217168482,15.106982703395259
14.48750800768738,13.905829596412556
14.609865470852018,14.382447149263292
14.99935938500961,16.14670083279949
14.220371556694426,15.454836643177451
15.281870595771942,14.386290839205637
14.270980140935299,13.750160153747597
14.725176169122358,12.87572069186419
14.410634208840486,14.80140935297886
14.37155669442665,14.898782831518258
14.474695707879563,14.51249199231262
14.893657911595131,14.274823830877642
14.97501601537476,14.243433696348495
15.598975016015375,15.770019218449711
14.829596412556054,13.377322229340166
14.549007046764894,16.00960922485586
14.932735426008968,15.66239590006406
14.376681614349776,13.648302370275465
14.745035233824472,13.863549007046766
14.226137091607944,13.009609224855861
15.385650224215247,13.174887892376681
14.92568866111467,15.103779628443306
14.37988468930173,13.673926969891095
14.836002562459962,14.482383087764253
14.549007046764894,13.946828955797566
15.304292120435619,14.299167200512493
14.128122998078155,15.165919282511211
14.377962844330558,13.74375400384369
13.992953235105702,14.937860345932094
14.37988468930173,16.809096732863548
15.086483023702755,14.153106982703395
14.733504163997438,13.532351057014735
14.327994875080076,13.308776425368354
14.82703395259449,14.261370916079436
15.14862267777066,13.38821268417681
14.372197309417041,14.031390134529149
15.52017937219731,16.16591928251121
14.898782831518258,13.772581678411274
14.802690582959642,13.521460602178092
14.499039077514414,14.365150544522741
